folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 0598,0,1,2,,copy of exhibitb_0598 11202023.xlsx;copy of exhibitc_0598.xlsx,mpn 0598 application v8.pdf
MPN 0776,1,8,2,4 exhibit 3-geo code   2021.xls,4 exhibit 3-geo code   2021.xls;6 copy of exhibit 2-providers and  zip codes with 20210915 replacement.xls,10 exhibit 9 - transfer of care policy with 20210915 replacement.pdf;10 exhibit 9 - transfer of care policy.pdf;11 exhibit 10 -quality of care and performance 9.2017.pdf;12 exhibit 11 -economic profiling policy.pdf;6 exhibit 5 - access standards policy 2021.pdf;7 exhibit 6 - complete written mpn employee notification 2021 with 20211001 replacement.pdf;9 exhibit 8 - continuity of care policy with 20210915 replacement.pdf;reapproval application - 2021 (002) with 2021001 replacement.pdf
MPN 0784,1,1,2,attachment c geocode.xlsx,attachment c geocode.xlsx;san mateo mpn 0784 attachment b providers+zipcodes-7-2-24 with 20240709 replacement.xlsx,san mateo mpn id 0784 reapproval application with 20240709 replacement.pdf
MPN 0822,1,1,2,attachment b -geographic service area and mpn provider lists rev(with 20240722 replacement.xlsx,attachment b -geographic service area and mpn provider lists rev(with 20240722 replacement.xlsx;mpn application 2024 - attachment c (20).xlsx,mpn application - plan for reapproval 2024 (with 20240719 replacement).pdf
MPN 0840,0,1,3,,attachment b - ancillary.xlsx;attachment b - provider.xlsx;attachment c - access.xlsx,azic 0840  mpn application renewal document final1.pdf
MPN 0846,0,1,3,,attachment b - ancillary.xlsx;attachment b - provider.xlsx;attachment c - access.xlsx,zaic 0846  mpn application renewal document primary .pdf
MPN 0901,1,2,2,attachment c - geocode (risico tmc city of fresno mpn).xlsx,attachment c - geocode (risico tmc city of fresno mpn).xlsx;tristar city of fresno mpn - physician and ancillary proivder listing - 2025.xlsx,re-submission letter - tristar city of fresno mpn 2025.pdf;risico tmc city of fresno mpn plan & attachments - reapproval.pdf
MPN 1018,1,1,2,pcic on the job mpn geocoding exhibit 04182022.xlsx,pcic on the job mpn geocoding exhibit 04182022.xlsx;pcic on the job mpn provider listing 04222022 (with 20220824 replacement).xlsx,pcic on the job mpn 1018 reapproval application_04252022 (with 20220824 replacement).pdf
MPN 1052,1,1,2,attachment c - geocode (san joaquin mpn).xlsx,attachment b - providers + zip codes (san joaquin mpn).xlsx;attachment c - geocode (san joaquin mpn).xlsx,mpn plan and attachments (san joaquin mpn)(with 20230720 replacement).pdf
MPN 1054,2,25,0,d.geographic service area.pdf; h.geocoding.pdf,,a.eligibility.pdf;b.projected provider usage.pdf;c.physician service networks.pdf;d.geographic service area.pdf;e.medical access assistant.pdf;f.mpn website.pdf;g.physician acknowledgements.pdf;h.geocoding.pdf;i.ancillary services..pdf;j.second and third opinion.pdf;k.access standards.pdf;l.employee notification.pdf;l.mpn employeenotification - english with 20230616 replacement.pdf;l.mpn employeenotification - spanish with 20230616 replacement.pdf;m.continuity of care policy - english.pdf;m.continuity of care policy - spanish.pdf;m.continuity of care.pdf;n.transfer of care policy - english.pdf;n.transfer of care policy - spanish.pdf;n.transfer of care.pdf;o.economic profiling policy.pdf;p.physician compensation.pdf;q.utilization review.pdf;r.continuous quality monitoring.pdf;s.network disclosure.pdf
MPN 1138,1,1,2,attachment c - geocode (stanislaus county mpn).xlsx,attachment b - providers + zip codes (stanislaus county mpn) (with 20221213 replacement).xlsx;attachment c - geocode (stanislaus county mpn).xlsx,plan & attachments - stanislaus county mpn (with 20221213 replacement).pdf
MPN 1140,1,1,2,attachment c - zurich services corporation prudent buyer mpn geocoding exhibit.xlsx,attachment b - zurich services corporation prudent buyer mpn provider listing.xlsx;attachment c - zurich services corporation prudent buyer mpn geocoding exhibit.xlsx,zsc prudent buyer mpn 1140 renewal document.pdf
MPN 1142,1,1,2,attachment c - zurich services corporation prudent buyer mpn geocoding exhibit.xlsx,attachment b - zurich services corporation prudent buyer mpn provider lisiting.xlsx;attachment c - zurich services corporation prudent buyer mpn geocoding exhibit.xlsx,zsc prudent buyer mpn 1142 renewal document(with 20240605 replacement).pdf
MPN 1163,0,12,9,,1 worksheet 1.xlsx;2 worksheet 2.xlsx;3 worksheet 3.xlsx;4 worksheet 4.xlsx;5-a- worksheet 5-a.xlsx;5-b- worksheet 5-b.xlsx;5-c- worksheet 5-c.xlsx;complete provider list_prism 1163(with 20250123 replacement).xlsx;prism telehealth list(20250123 replacement).xlsx,01 e- prism continuity of care policy- english (with 20250108 replacement).pdf;01 e- prism transfer of care policy- english(with 20250108 replacement).pdf;02 s- prism continuity of care policy- spanish(with 20250108 replacement).pdf;02 s- prism transfer of care policy- spanish(with 20250108 replacement).pdf;1 e -prism mpn complete written employee notification- english(with 20250108 replacement).pdf;1- certificate of consent to self-insure.pdf;1- quality of care and performance.pdf;2 s- prism mpn complete written employee notification- spanish(with 20250108 replacement).pdf;6- access not met policy.pdf;access standards(with 20250108 replacement).pdf;corrections- prism medical network plan(with 20250123 replacement).pdf;second and third opinion process(with 20250108 replacement).pdf
MPN 1176,1,1,2,attachment c - geocode (turlock mpn).xlsx,attachment b - providers + zip codes (turlock mpn)(with 20250113 replacement) (2).xlsx;attachment c - geocode (turlock mpn).xlsx,plan & attachments - turlock irrigation district mpn(with 20250113 replacement).pdf
MPN 1203,0,1,2,,copy of exhibitc_1203.xlsx;exhibitb_1203 rw v1 with 20241203 replacement.xlsx,1203 mpn reapproval application 2024 v1 with 20241126 replacement.pdf
MPN 1257,1,1,2,attachment c - geocode (city of monterey mpn).xlsx,attachment b - providers + zip codes (city of monterey mpn)(with 20241024 replacement).xlsx;attachment c - geocode (city of monterey mpn).xlsx,plan & attachments - city of monterey mpn reapproval(with 20241024 replacement).pdf
MPN 1258,1,7,3,attachment c - geocode - city and county of san francisco mpn.xlsx,attachment c - geocode - city and county of san francisco mpn.xlsx;revised - attachment b - providers+zip codes - ccsf mpn (with 20250724 replacement).xlsx;revised - telehealth_providers_with_service_area 7-24-2025 (with 20250724 replacement).xlsx,replacement - attachment f - complete written mpn employee notification english(with 20250724 replacement).pdf;replacement - attachment f - complete written mpn employee notification spanish(with 20250724 replacement).pdf;replacement - attachment g - continuity of care - english(with 20250724 replacement).pdf;replacement - attachment g - continuity of care - spanish(with 20250724 replacement).pdf;replacement - attachment h - transfer of care - english(with 20250724 replacement) (2).pdf;replacement - attachment h - transfer of care - spanish(with 20250724 replacement) (1).pdf;replacement pages -  application for reapproval - city and county of san francisco 1258(with 20250724 replacement).pdf
MPN 1259,2,1,2,attachment b - geographic service area (bcsd) revised(with 20250321 replacement).xlsx; attachment c - geocoding (bcsd).xlsx,attachment b - geographic service area (bcsd) revised(with 20250321 replacement).xlsx;attachment c - geocoding (bcsd).xlsx,mpn-application - bcsd 1259 2024 (with 20250321 replacement).pdf
MPN 1260,2,1,2,attachment b - geographic service area  (sisc) revised(with 20250321 replacement).xlsx; attachment c - geocoding (sisc) - revised(with 20250321 replacement) (1).xlsx,attachment b - geographic service area  (sisc) revised(with 20250321 replacement).xlsx;attachment c - geocoding (sisc) - revised(with 20250321 replacement) (1).xlsx,mpn-application - sisc 1260 2024(with 20250321 replacement).pdf
MPN 1265,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom mpn application goodwill sd final.pdf
MPN 1399,1,1,2,attachment c - geocode (vista paint mpn).xlsx,attachment b - providers + zip codes (vista paint mpn)(with 20250109 replacement).xlsx;attachment c - geocode (vista paint mpn).xlsx,plan & attachments - vista paint corporation mpn repproval(with 20250109 replacement).pdf
MPN 1401,1,1,2,san diego county schools jpa mpn 1401_geocoding_exhibit.xlsx,san diego county schools jpa mpn 1401 provider listing with 20250331 replacement.xlsx;san diego county schools jpa mpn 1401_geocoding_exhibit.xlsx,san diego county schools jpa mpn 1401 application 2025 with 20250331 replacement.pdf
MPN 1719,0,1,3,,access.xlsx;ancillary (58)(with 20240129 replacement).xlsx;provider.xlsx,application mpn#1719.final.pdf
MPN 1780,1,1,2,attachment c - geocode (alameda health system mpn).xlsx,attachment b providers + zip codes (alameda health system mpn)(with 20250630 replacement).xlsx;attachment c - geocode (alameda health system mpn).xlsx,alameda health system mpn - mpn plan application(with 20250630 replacement).pdf
MPN 1799,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zipcodes with 20240208 replacement.xlsx;attachment c - geocode.xlsx,anic 1799 custom with kaiser mpn application with 20240208 replacement.pdf
MPN 1893,1,1,2,geocoding analysis_wdpr_20230310.xlsx,geocoding analysis_wdpr_20230310.xlsx;providers plus zips_wdpr_20230310 (with 20230517 replacement).xlsx,wdpr mpn renewal 2023 (with 20230517 replacement).pdf
MPN 1907,0,1,3,,attachment b ancillary.xlsx;attachment c access.xlsx;attacment b provider.xlsx,berkley specialty mpn 1907.pdf
MPN 1927,0,1,3,,access.xlsx;ancillary.xlsx;providers.xlsx,state national mpn 1927_final.pdf
MPN 1928,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes v2.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application san diego ccd 1928 v2.pdf
MPN 2005,1,1,2,attachment c - geocode (republic indemnity company mpn).xlsx,attachment b - providers + zip codes (republic indemnity company mpn)(with 20231221 replacement).xlsx;attachment c - geocode (republic indemnity company mpn).xlsx,ri mpn - replacement application description( with 20231221 replacement).pdf
MPN 2006,1,1,2,attachment c - geocode (republic indemnity company mpn).xlsx,attachment b - providers + zip codes (republic indemnity company mpn)(with 20231208 replacement).xlsx;attachment c - geocode (republic indemnity company mpn).xlsx,republic indemnity company of california reapproval - replacement mpn plan description (with 20231208 replacement).pdf
MPN 2041,0,1,2,,costco mpn attachment 2 with 20230706 replacement.xlsx;mpn timesheet & extract date log.xlsx,costco mpn application with attachments.pdf
MPN 2046,1,1,2,attachment c - geocode (tristar golden empire transit district mpn).xlsx,attachment b - providers + zip codes (tristar golden empire transit  district mpn).xlsx;attachment c - geocode (tristar golden empire transit district mpn).xlsx,tristar golden empire transit district  mpn - plan & attachments.pdf
MPN 2053,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes v2.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application recology v2.pdf
MPN 2108,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application coachella vwd.pdf
MPN 2125,0,1,2,,exhibitb_2125 - updated rw v2.xlsx;exhibitc_2125.xlsx,mpn application 2125- dm comments v-3.pdf
MPN 2126,0,1,2,,exhibitb_2126- updated rw v2.xlsx;exhibitc_2126.xlsx,mpn application 2126- dm comments v-3.pdf
MPN 2127,0,1,2,,copy of exhibitc_2127.xlsx;exhibitb_2127- updated rw v2.xlsx,mpn application 2127- dm comments v-3.pdf
MPN 2131,1,1,2,attachment c - geocode 04-2022 revision with 20220511 replacement.xlsx,attachment b provider  + zip codes 2022 revision with 20220511 replacement.xlsx;attachment c - geocode 04-2022 revision with 20220511 replacement.xlsx,2022 ca mpn applicant plan 2131 revision with 20220511 replacement.pdf
MPN 2158,1,1,2,attachment c - geocode (tristar lion raisins mpn).xlsx,attachment b - providers + zip codes (tristar lion raisin mpn).xlsx;attachment c - geocode (tristar lion raisins mpn).xlsx,tristar lion raisins mpn - plan and attachments - 2025 reapproval.pdf
MPN 2159,1,1,2,attachment c - geocode (tristar star transport mpn).xlsx,attachment b - providers + zip codes (tristar star transport mpn).xlsx;attachment c - geocode (tristar star transport mpn).xlsx,tristar star transport mpn plan & attachments - revisions 5.12.25.pdf
MPN 2160,1,1,2,attachment c - geocode (tristar lion farms mpn).xlsx,attachment b - providers + zip codes (tristar lion farms mpn).xlsx;attachment c - geocode (tristar lion farms mpn).xlsx,tristar lion farms mpn plan & attachments.pdf
MPN 2173,0,1,2,,exhibitb_2173- updated rw v2.xlsx;exhibitc_2173.xlsx,mpn application 2173- dm comments v-3.pdf
MPN 2214,0,1,4,,access.xlsx;ancillary.xlsx;provider.xlsx;telehealth mpn 2214 - corrected.xlsx,mpn 2214 bristol-myers squibb mpn application 2025.pdf
MPN 2237,1,1,2,chuch mutual insurance company medical provider network 2237 geocoding exhibit g with 20250304 replacement.xlsx,chuch mutual insurance company medical provider network 2237 geocoding exhibit g with 20250304 replacement.xlsx;church mutual insurance company medical provider network 2237 provider listing with 20250304 replacement.xlsx,church mutual insurance company medical provider network 2237 reapproval application with 20250304 replacement.pdf
MPN 2282,1,5,2,geocode attachment c.xlsx,geocode attachment c.xlsx;providers+zipcodes attachment b.xlsx,attachment f complete written mpn employee notification.pdf;attachment g continuity of care policy.pdf;attachment h transfer of ongoing care policy.pdf;c. mpns ability to provide medical care.pdf;ek health select mpn id 2282 plan.pdf
MPN 2299,1,1,2,geocode_harboronempn_20241205.xlsx,geocode_harboronempn_20241205.xlsx;provider pluz zip_harboronempn_20241205 with 20250204 replacement.xlsx,2299_harborone renewal app_20241205.pdf
MPN 2300,0,11,7,,1- worksheet 1 with 20250318 replacement.xlsx;2- worksheet 2 with 20250318 replacement.xlsx;3- worksheet 3 with 20250318 replacement.xlsx;4- worksheet 4 with 20250318 replacement.xlsx;5 b- worksheet 5-b.xlsx;5 c- worksheet 5-c with 20250318 replacement.xlsx;complete provider list_cityoakland with 20250318 replacement.xlsx,01 e- prism continuity of care policy- english.pdf;01 e- prism transfer of care policy- english.pdf;02 s- prism continuity of care policy- spanish.pdf;02 s- prism toc spanish with 20250318 replacement.pdf;1- access standards with 20250318 replacement.pdf;1- quality of care and performance.pdf;1- second and third opinion process.pdf;1e -prism ee notice- english with 20250318 replacement.pdf;2- prism medical network plan with 20250318 replacement.pdf;2s- prism ee notice spanish with 20250318 replacement.pdf;6- access not met policy.pdf
MPN 2322,1,1,2,geocoding analysis_sedgwick1_20211227 (with 20220615 replacement).xlsx,geocoding analysis_sedgwick1_20211227 (with 20220615 replacement).xlsx;providers plus zip_sedgwick1_20211227 (with 20220615 replacement).xlsx,mpn plan for reapproval sedgwick harbor mpn mpn id 2322 (with 20220615 replacement).pdf
MPN 2323,1,1,2,geocoding analysis_sedgwick2_20211227.xlsx,geocoding analysis_sedgwick2_20211227.xlsx;providers plus zip sedgwick 2_20211227(20220705 replacement).xlsx,mpn plan for reapproval sedgwick harbor 2 mpn mpn id 2323 (1)(with 20220705 replacement).pdf
MPN 2327,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application ocfa v2.pdf
MPN 2334,1,1,2,harborone genex mpn_geocode_20220408.xlsx,harborone genex mpn_geocode_20220408.xlsx;harborone genex mpn_provider zips_20220408 with 20220628 replacement.xlsx,harborone genex mpn_2334 reapproval.pdf
MPN 2345,1,1,2,attachment c - geocode county of riverside.xlsx,attachment b - providers + zip codes with 20240425 replacement.xlsx;attachment c - geocode county of riverside.xlsx,custom with kaiser mpn application county of riverside with 20240422 replacement.pdf
MPN 2346,0,1,4,,gb_platinum_mpn_ancillary.xlsx;gb_platinum_mpn_dwc_access.xlsx;gb_platinum_mpn_physician.xlsx;gb_platinum_mpn_telehealth.xlsx,gallagher bassett platinum mpn 2346 reapproval application rv.pdf
MPN 2349,0,1,4,,gallagher_bassett_chubb_real_estate_unit_mpn_ancillary.xlsx;gallagher_bassett_chubb_real_estate_unit_mpn_dwc_access.xlsx;gallagher_bassett_chubb_real_estate_unit_mpn_physician.xlsx;gallagher_bassett_chubb_real_estate_unit_mpn_telehealth.xlsx,gallagher bassett chubb real estate unit mpn 2349 reapproval application rv (with 20230418 replacement).pdf
MPN 2350,0,1,4,,gallagher_bassett_chubb_risk_management_group_mpn_ancillary.xlsx;gallagher_bassett_chubb_risk_management_group_mpn_dwc_access.xlsx;gallagher_bassett_chubb_risk_management_group_mpn_physician.xlsx;gallagher_bassett_chubb_risk_management_group_mpn_telehealth.xlsx,gallagher bassett chubb risk management group mpn 2350 reapproval application rv(with 20230418 replacement).pdf
MPN 2351,0,10,10,,1- worksheet 1.xlsx;2- worksheet 2.xlsx;3- worksheet 3.xlsx;4- worksheet 4.xlsx;5a- worksheet 5-a.xlsx;5b- worksheet 5-b.xlsx;5c- worksheet 5-c.xlsx;ancillary provider list with 20230228 replacement.xlsx;careworks complete provider list with 20230228 replacement.xlsx;careworks telehealth list.xlsx,0- careworks mpn plan with 20230228 replacement.pdf;1 e- careworks written employee notification-english with 20230228 replacement.pdf;1 e- continuity of care policy- english with 20230228 replacement.pdf;1 e- transfer of care policy- english.pdf;1- access standards with th language with 20230228 replacement.pdf;1- quality of care and performance.pdf;1- second and third opinion process.pdf;2 s- careworks written employee notification-spanish with 20230228 replacement.pdf;2 s- continuity of care policy- spanish with 20230228 replacement.pdf;2 s- transfer of care policy- spanish.pdf
MPN 2357,1,1,2,keenanplus_geocoding_20220822 (with 20221110 replacement).xlsx,keenanplus_geocoding_20220822 (with 20221110 replacement).xlsx;keenanplus_providerszips_20220822 (with 20221110 replacement).xlsx,keenan prime plus powered by harbor health #2357 (with 20221110 replacement).pdf
MPN 2358,1,1,2,keenanprime_geocoding_20220822.xlsx,keenanprime_geocoding_20220822.xlsx;keenanprime_providerszips_20220822 with 20221110 replacement.xlsx,keenan prime advantage mpn powered by harbor health #2358.pdf
MPN 2359,1,1,2,geocoding analysis_ag_20220401 (with 20221021 replacement).xlsx,geocoding analysis_ag_20220401 (with 20221021 replacement).xlsx;providers plus zips_ag_20220401 (with 20221021 replacement).xlsx,mpn plan for sedgwick harbor mpn-ag 2359 plan renewal (with 20221021 replacement).pdf
MPN 2360,1,1,2,allied managed care mpn 2360_geocoding_exhibit_g.xlsx,allied managed care mpn 2360 provider listing (1) with 20230117 replacement.xlsx;allied managed care mpn 2360_geocoding_exhibit_g.xlsx,allied managed care mpn 2360 reapproval application 08112022.pdf
MPN 2364,1,1,2,attachment c - geocode.xlsx,attachment b - providers+zipcodes.xlsx;attachment c - geocode.xlsx,state 2364 ace bbsi mpn reapproval application 2.pdf
MPN 2376,0,1,2,,exhibitb_2376 - updated rw v2.xlsx;exhibitc_2376.xlsx,mpn application 2376 dm comments v-5.pdf
MPN 2377,1,1,2,athens administrators mpn 2377_geocoding_exhibit_g.xlsx,athens administrators mpn 2377 provider listing (with 20220920 replacement).xlsx;athens administrators mpn 2377_geocoding_exhibit_g.xlsx,athens administrators mpn 2377 application_material modification_full replacement 08122022 (with 20220920 replacement).pdf
MPN 2378,0,1,1,,lmg mpn attachment 2 (with 20230314 replacement).xlsx,lmg mpn application with attachments (with 20230314 replacement).pdf
MPN 2385,0,1,3,,attachment b -provider 2385(with 20231110 replacement).xlsx;attachment b-ancillary 2385(with 20231110 replacement).xlsx;attachment c-access 2385(with 20231110 with replacement).xlsx,mpn application 2385 with employee notification (with 20231110 replacement).pdf
MPN 2386,1,1,2,exhibit c - geocode updated 05.2023.xlsx,exhibit b - providers + zip codes updated 05.2023.xlsx;exhibit c - geocode updated 05.2023.xlsx,2022 ca mpn applicant conduent 2386 updated 05.2023 (with 20230522 replacement).pdf
MPN 2387,0,11,10,,1- worksheet 1.xlsx;2- worksheet 2.xlsx;3- worksheet 3.xlsx;4- worksheet 4.xlsx;5a- worksheet 5-a.xlsx;5b- worksheet 5-b.xlsx;5c- worksheet 5-c.xlsx;ancillary provider list with 20221110 replacement.xlsx;wellcomp complete provider list with 20221110 replacement.xlsx;wellcomp telehealth list with 20221110 replacement.xlsx,01 e- continuity of care policy- english with 20221110 replacemen.pdf;01 e- transfer of care policy- english with 20221110 replacement.pdf;01 e- wellcomp complete written employee notification- english.pdf;01- quality of care and performance.pdf;02 s- continuity of care policy- spanish with 20221110 replacemen.pdf;02 s- transfer of care policy- spanish with 20221110 replacement.pdf;02 s- wellcomp complete written employee notification- spanish.pdf;1- access standards.pdf;1- second and third opinion process with 20221110 replacement.pdf;1- wellcomp mpn plan with 20221110 replacement.pdf;6- access not met policy.pdf
MPN 2389,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application mitsui v2.pdf
MPN 2390,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application mitsui.pdf
MPN 2391,1,1,2,midwest mpn 2391_geocoding_exhibit_g.xls.xlsx,midwest mpn 2391 provider listing 12052022.xlsx;midwest mpn 2391_geocoding_exhibit_g.xls.xlsx,midwest mpn 2391 reapproval application 2022.pdf
MPN 2392,0,1,3,,attachment b 20230831 ccmsi mpn dwc provider(with 20231121 replacement).xlsx;attachment b- 20230831 ccmsi mpn dwc ancillary(with 02231121 replacement) (1).xlsx;attachment c- 20230831 ccmsi mpn dwc access 952023(with 20231121 replacement) (1) (5).xlsx,mpn-application ccmsi mpn 2392-replacement pages11212023(with 20231121 replacement).pdf
MPN 2393,1,1,2,geocoding_sears_20221010 (with 20221207 replacement).xlsx,geocoding_sears_20221010 (with 20221207 replacement).xlsx;providers plus zips_sears_20221010 (with 20221207 replacement).xlsx,sedgwick sears holdings corp mpn renewal (with 20221207 replacement).pdf
MPN 2394,0,1,2,,exhibitb_2394- updated rw v2.xlsx;exhibitc_2394.xlsx,mpn application 2394- dm comments v-4.pdf
MPN 2395,0,1,3,,gallagher bassett coventry mpn dwc access.xlsx;gallagher_bassett_coventry_ mpn_ provider with 20230829 replacement.xlsx;gallagher_bassett_coventry_mpn_ancillary with 20230829 replacement.xlsx,gallagher bassett coventry mpn reapproval application with 20230829 replacement.pdf
MPN 2396,0,1,3,,2396 ancillary 7242023 with 20230727 replacement.xlsx;2396 provider 7242023r with 20230727 replacement.xlsx;gallagher bassett first health mpn dwc access.xlsx,gallagher bassett first health mpn 2396 reapproval.pdf
MPN 2397,1,1,2,anthem premier mpn 2397_geocoding_exhibit_g.xlsx,anthem premier mpn 2397 provider listing (with 20221214 replacement).xlsx;anthem premier mpn 2397_geocoding_exhibit_g.xlsx,anthem premier mpn 2397 mpn application (with 20221214 replacement).pdf
MPN 2399,1,7,2,6. exhibit b. broadspire mpn 2399_geocoding_broadspire_04jan2023.xlsx,6. exhibit b. broadspire mpn 2399_geocoding_broadspire_04jan2023.xlsx;7. ex. c copy of broadspire mpn 2399 provider listing.6.12.23.xlsx,3. mpn 2399 app_.pdf;4. ex. f second-third opinion.pdf;5. ex. i employee notification.pdf;exhibit d access standards.pdf.pdf;exhibit e quality of care & performance.pdf.pdf;exhibit g continuity of care.pdf.pdf;exhibit h transfer of care.pdf.pdf
MPN 2401,1,1,3,geocode #2401.xlsx,copy of ancillary #2401-march 7th with 20230309 replacement.xlsx;copy of provider #2401 with 20230309 replacement.xlsx;geocode #2401.xlsx,#2401genex services llc-coventry reapproval application 11.2022.pdf
MPN 2404,1,1,2,attachment c - geocode (nbd plus mpn) (with 20230313 replacement).xlsx,attachment b - providers + zip codes (nbd plus mpn)(with 20230313 replacement).xlsx;attachment c - geocode (nbd plus mpn) (with 20230313 replacement).xlsx,nbd plus mpn - plan and attachments (with 20230313 replacement).pdf
MPN 2405,1,1,2,geocoding analysis_cec_20230119.xlsx,geocoding analysis_cec_20230119.xlsx;providers plus zips_cec_20230119 (with 20230215 replacement).xlsx,sedgwick harbor mpn cec renewal mpn id 2405(with 20230215 replacement).pdf
MPN 2407,1,1,2,geocoding analysis_nestle_20221101 (with 20230105 replacement).xlsx,geocoding analysis_nestle_20221101 (with 20230105 replacement).xlsx;providers plus zips_nestle_20221101 (with 20230105 replacement).xlsx,sedgwick harbor mpn nestle renewal mpn id 2407 (with 20230105 replacement).pdf
MPN 2408,1,1,2,geocoding analysis_eaton_20221105 (with 20230113 replacement).xlsx,geocoding analysis_eaton_20221105 (with 20230113 replacement).xlsx;providers plus zips_eaton_20221105 (with 20230113 replacement).xlsx,sedgwick harbor mpn eaton renewal mpn id 2408 (with 20230113 replacement).pdf
MPN 2409,1,1,2,geocoding analysis_scripps_20221107 (with 20230222 replacement).xlsx,geocoding analysis_scripps_20221107 (with 20230222 replacement).xlsx;providers plus zips_scripps_20221107 (with 20230222 replacement).xlsx,sedgwick harbor mpn scripps renewal mpn id 2409 (with 20230222 replacement).pdf
MPN 2410,1,1,2,geocoding analysis_dtfd_20221209 (with 20230213 replacement).xlsx,geocoding analysis_dtfd_20221209 (with 20230213 replacement).xlsx;providers plus zips_dtfd_20221209 (with 20230213 replacement).xlsx,sedgwick harbor mpn dtfd #2410 renewal (with 20230213 replacement).pdf
MPN 2411,0,1,1,,hms mpn attachment 2 (with 20230314 replacement).xlsx,hms mpn application with attachments (with 20230314 replacement).pdf
MPN 2414,1,1,2,geocoding analysis_uhg_20221114.xlsx,geocoding analysis_uhg_20221114.xlsx;providers plus zips_uhg_20221114 with 20230221 replacement.xlsx,sedgwick harbor mpn uhg renewal mpn id 2414.pdf
MPN 2415,1,1,2,anthem premier plus mpn 2415_geocoding_exhibit_g.xlsx,anthem premier plus mpn 2415 provider listing (with 20230206 replacement).xlsx;anthem premier plus mpn 2415_geocoding_exhibit_g.xlsx,awc premier plus mpn 2415 mpn application (with 20230206 replacement).pdf
MPN 2420,1,1,2,attachment c - geocode (national interstate mpn).xlsx,attachment b - providers + zip codes (national interstate mpn).xlsx;attachment c - geocode (national interstate mpn).xlsx,national interstate mpn plan and attachments .pdf
MPN 2421,1,1,2,attachment c - geocode (vanliner mpn).xlsx,attachment b - providers + zip codes (vanliner mpn).xlsx;attachment c - geocode (vanliner mpn).xlsx,vanliner mpn plan and attachments .pdf
MPN 2423,1,1,2,attachment c - geocode.xlsx,attachement b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application ace-el pollo loco with 04022024 replacement.pdf
MPN 2430,0,1,3,,access.xlsx;corrected ancillary 9292023 with 20231006 replacement.xlsx;corrected provider 09282023 with 20231005 replacement.xlsx,coventry mpn no. 2430 -application 05182023 with 202310010 replacement.pdf
MPN 2431,1,1,2,geocoding analysis_desc_20230505 (with 20230608 replacement).xlsx,geocoding analysis_desc_20230505 (with 20230608 replacement).xlsx;providers plus zips_desc_20230505 (with 20230608 replacement).xlsx,sedgwick harbor mpn desc 2431 renewal 5.2.23 (with 20230608 replacement).pdf
MPN 2433,1,1,2,esis medical impact mpn 2433_geocoding_exhibit_g.xlsx,esis medical impact mpn 2433 provider listing with 20231220 replacement.xlsx;esis medical impact mpn 2433_geocoding_exhibit_g.xlsx,esis medical impact mpn 2433 reapproval application with 20231220 replacement.pdf
MPN 2435,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zipcodes(with 20240227 replacement).xlsx;attachment c - geocode.xlsx,raleys mpn application_20230807.pdf
MPN 2437,0,1,0,,,medex_mpn reapproval plan for medex advantage-athens mpn_(id#2437)_20230822(with 20231006 replacement).pdf
MPN 2438,0,1,0,,,medex_mpn reapproval plan for medex advantage mpn_(id#2438)_20230822 (002) with 20231009 replacement.pdf
MPN 2439,0,1,0,,,medex__mpn reapproval plan for medex advantage plus mpn_(id# 2439)_20230822 with 20231009 replacement.pdf
MPN 2449,0,1,3,,attachment b - ancillary with 20240116 replacement.xlsx;attachment b - provider with 20240116 replacement.xlsx;attachment c - access.xlsx,zsc mpn 2449 - mpn- renewal 2023 final with 20240110 replacement.pdf
MPN 2453,0,1,1,,lmmc mpn attachment 2 with 20230706 replacement.xlsx,lmmc mpn application with attachments.pdf
MPN 2454,0,1,0,,,medex__mpn reapproval plan for medex advantage plus-pog mpn_(id# 2454)_20230822 with 20231011 replacement.pdf
MPN 2458,0,1,0,,,medex_mpn reapproval plan for medex advantage- kpc mpn_(id# 2458)_20230822(with 20231011 replacement).pdf
MPN 2459,0,1,0,,,medex_mpn reapproval plan for medex advantage-wc solutions mpn_(id# 2459)_20230822(with 20231012 replacement).pdf
