folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 3027,2,9,2,attachment b_geographic service area and mpn provider lists_20250128.xlsx; attachment c - geo coding results.xlsx,attachment b_geographic service area and mpn provider lists_20250128.xlsx;attachment c - geo coding results.xlsx,attachment a - eligibility of the mpn applicant.pdf;attachment d - second and third opinion process.pdf;attachment e - access standards.pdf;attachment f -complete written mpn employee notification.pdf;attachment g - continuity of care policy (1).pdf;attachment h - transfer of ongoing care policy.pdf;attachment i  economic profiling (1).pdf;attachment j  quality of care and performance (1).pdf;mpn plan.pdf
MPN 3028,1,1,2,geocode_irvineco_20241004.xlsx,geocode_irvineco_20241004.xlsx;provider plus zip_irvineco_20241202 with 20241202 replacement.xlsx,3028_irvineco_mpn renewal app_20241004.pdf
MPN 3030,0,1,2,,ancillary 3030-corrected(with 20250505 replacement).xlsx;provider 3030-corrected(with 20250505 replacement).xlsx,mpn 3030 replacement-slfinal-corrections(with 20250514 replacement).pdf
MPN 3031 Confidential,1,1,2,attachment c  geocode 06.2023.xlsx,attachment b  providers + zip codes 2022 06.2023.xlsx;attachment c  geocode 06.2023.xlsx,2023 ca mpn applicant plan 3031 11.07.2022(with 20230809 replacement).pdf
MPN 3032 Confidential,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes 2023 03-20-2024(with 20240325 replacement).xlsx;attachment c - geocode.xlsx,2023 ca mpn plan 3032 renewal 11-14-2023(with 20240326 replacement).pdf
MPN 3039,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes.xlsx;attachment c - geocode.xlsx,custom mpn application express mpn 3039.pdf
MPN 3040,0,1,0,,,medex_mpn reapproval plan for advantage-acig mpn (id#3040)_20241206.pdf
MPN 3042,0,1,0,,,medex_mpn reapproval plan for advantage plus-republic mpn (id#3042)_20241206.pdf
MPN 3050,0,1,0,,,medex_mpn reapproval plan for advantage-grimmway mpn (id#3050)_20241206.pdf
MPN 3051,0,1,0,,,medex_mpn reapproval plan for advantage plus-cfins mpn (id#3051)_20241206.pdf
MPN 3052,0,1,3,,attachment b_carefirst_mpn_dwc _ancillary - replacement pages with 20220912 replacement.xlsx;attachment b_carefirst_mpn_dwc_provider - replacement pages with 20220912 replacement.xlsx;attachment c_carefirst_mpn_dwc_access.xlsx,mpn application description - replacement pages with 20220912 replacement.pdf
MPN 3054,0,1,4,,ancillary corrected aig ep (2).xlsx;attachment c access (2).xlsx;ep mpn 3054  telehealth.xlsx-2025 - corrected.xlsx;provider corrected aig ep  (2).xlsx,mpn 3054  aig ep mpn 01312025.pdf
MPN 3064,0,1,1,,attachment b - providers + zip codes (omaha national mpn)(with 20250702 replacement).xlsx,omaha national mpn - plan and attachments(with 20250702 replacement).pdf
MPN 3065,0,1,3,,20241204 aramark mpn dwc access.xlsx;20241204 aramark mpn dwc ancillary 562025 with 20250506 replacement.xlsx;20241204 aramark mpn dwc provider 522025 with 20250502 replacement.xlsx,aramark 2024 with 20250502 replacement.pdf
MPN 3068,2,1,2,attachment b - geographic service area - mpn provider lists (with 20211202 replacement).xlsx; attachment c- geo coding.xlsx,attachment b - geographic service area - mpn provider lists (with 20211202 replacement).xlsx;attachment c- geo coding.xlsx,kcha mpn 3068 (with 20211202 replacement).pdf
MPN 3072,0,1,4,,ancillary corrected aig jcp(with 20250206 replacement).xlsx;attachment c access(with 20250206 replacement).xlsx;jcp mpn 3072 telehealth.xlsx-2025 .xlsx;provider corrected aig jcp(with 20250206 replacement).xlsx,mpn 3072 aig jcp mpn 01312025(with 20250206 replacement).pdf
MPN 3074,0,1,1,,attachment b providers + zipcodes.xlsx,"genex services, llc-anthem reapproval application #3074.pdf"
MPN 3079,1,1,2,geocode_sedgwick aa_20250226.xlsx,geocode_sedgwick aa_20250226.xlsx;provier plus zip_sedgwick aa_20250226.xlsx,3079_american airlines_dwc renewal_20250226.pdf
MPN 3082,0,2,3,,access.xlsx;ancillary.xlsx;provider.xlsx,nars mpn application - combined deficiencies addressed.pdf;nars mpn application - combined.pdf
MPN 3083,0,1,2,,2_exhibit b_3083 final_prime__012122.xlsx;exhibit c_3083.xlsx,dwc_hartford_campn_renewalupdates011522.pdf
MPN 3085,0,1,0,,,medex__reapproval plan for medex advantage-city of long beach mpn_(id_3085)_20220113.pdf
MPN 3087,0,1,0,,,medex__reapproval plan for medex advantage plus-hilton mpn_(id_3087)_20220113.pdf
MPN 3089,0,2,3,,copy of copy of ancillary with 20220623 replacement.xlsx;copy of copy of provider with 20220623 replacement.xlsx;dwc access.xlsx,agcs #3089 .pdf;agcs #3089 steph replacement pages-final with 20220623 replacement.pdf
MPN 3090,1,1,2,geocoding analysis_verizon_20210810.xlsx,geocoding analysis_verizon_20210810.xlsx;providers plus zips_verizon_20210810 with 20211215 replacement.xlsx,mpn plan for reapproval sedgwick harbor mpn-verizon_3090.pdf
MPN 3091,1,1,2,geocode file kroger_20220329.xlsx,geocode file kroger_20220329.xlsx;providers file kroger_20220329 with 20220523 replacement.xlsx,mpn plan for reapproval sedgwick harbor mpn-kroger_3091 with 20220523 replacement.pdf
MPN 3092,1,1,2,attachment c - geocode - san jose usd mpn corrections with 20220706 replacement.xlsx,3. attachment b - providers+zipcodes - san jose usd mpn corrections.xlsx;attachment c - geocode - san jose usd mpn corrections with 20220706 replacement.xlsx,2. application reapproval - san jose usd mpn 3092.pdf
MPN 3095,0,1,2,,exhibit b_3095.xlsx;exhibit c_3095.xlsx,mpn 3095 application.pdf
MPN 3096,0,1,2,,exhibit b_3096.xlsx;exhibit c_3096.xlsx,mpn 3096 application.pdf
MPN 3097,0,1,2,,exhibit b_3097.xlsx;exhibit c_3097.xlsx,mpn 3097 application.pdf
